Year,Month,MaxTemp
1910,1,25.38064516129032
1910,2,26.514285714285712
1910,3,23.94516129032258
1910,4,21.253333333333334
1910,5,17.783870967741933
1910,6,14.646666666666667
1910,7,12.916129032258064
1910,8,15.09032258064516
1910,9,16.67
1910,10,16.97741935483871
1910,11,22.1
1910,12,21.951612903225808
1911,1,24.383870967741935
1911,2,23.82857142857143
1911,3,21.799999999999997
1911,4,19.02
1911,5,16.73548387096774
1911,6,12.336666666666668
1911,7,12.893548387096773
1911,8,15.693548387096774
1911,9,16.49
1911,10,18.138709677419353
1911,11,22.759999999999998
1911,12,21.51290322580645
1912,1,24.677419354838708
1912,2,25.772413793103446
1912,3,23.80322580645161
1912,4,18.936666666666667
1912,5,17.429032258064513
1912,6,14.206666666666667
1912,7,13.293548387096775
1912,8,15.203225806451613
1912,9,16.613333333333333
1912,10,19.16774193548387
1912,11,20.0
1912,12,21.261290322580646
1913,1,23.65806451612903
1913,2,25.24642857142857
1913,3,20.56451612903226
1913,4,21.303333333333335
1913,5,15.341935483870968
1913,6,13.646666666666667
1913,7,13.880645161290323
1913,8,13.751612903225807
1913,9,16.263333333333332
1913,10,19.0258064516129
1913,11,19.523333333333333
1913,12,25.567741935483873
1914,1,24.509677419354837
1914,2,27.335714285714285
1914,3,24.712903225806453
1914,4,20.69333333333333
1914,5,17.27741935483871
1914,6,14.963333333333333
1914,7,12.887096774193548
1914,8,15.587096774193547
1914,9,15.91
1914,10,22.44193548387097
1914,11,22.91
1914,12,22.41290322580645
1915,1,24.56451612903226
1915,2,24.724999999999998
1915,3,23.125806451612902
1915,4,19.959999999999997
1915,5,16.23548387096774
1915,6,13.973333333333333
1915,7,14.658064516129032
1915,8,14.235483870967743
1915,9,17.303333333333335
1915,10,17.938709677419357
1915,11,20.81
1915,12,22.074193548387097
1916,1,25.019354838709678
1916,2,23.86896551724138
1916,3,22.570967741935487
1916,4,19.36
1916,5,17.296774193548387
1916,6,13.55
1916,7,13.654838709677419
1916,8,14.096774193548388
1916,9,16.113333333333333
1916,10,17.87741935483871
1916,11,18.69333333333333
1916,12,22.72258064516129
1917,1,23.758064516129032
1917,2,22.560714285714287
1917,3,21.635483870967743
1917,4,18.273333333333333
1917,5,16.07741935483871
1917,6,13.476666666666667
1917,7,13.629032258064516
1917,8,14.73225806451613
1917,9,16.513333333333332
1917,10,18.419354838709676
1917,11,20.086666666666666
1917,12,24.580645161290324
1918,1,25.670967741935485
1918,2,24.717857142857145
1918,3,22.529032258064515
1918,4,19.293333333333333
1918,5,17.774193548387096
1918,6,14.446666666666665
1918,7,12.77741935483871
1918,8,15.274193548387096
1918,9,17.716666666666665
1918,10,17.529032258064515
1918,11,19.83
1918,12,23.741935483870968
1919,1,24.65806451612903
1919,2,26.889285714285712
1919,3,20.96451612903226
1919,4,22.503333333333334
1919,5,17.229032258064517
1919,6,14.046666666666665
1919,7,13.125806451612902
1919,8,15.016129032258064
1919,9,18.073333333333334
1919,10,19.822580645161292
1919,11,22.096666666666668
1919,12,24.4
1920,1,21.93548387096774
1920,2,26.00344827586207
1920,3,22.806451612903224
1920,4,19.626666666666665
1920,5,15.254838709677419
1920,6,14.19
1920,7,14.13225806451613
1920,8,13.74516129032258
1920,9,16.416666666666668
1920,10,19.11935483870968
1920,11,20.62
1920,12,24.083870967741937
1921,1,26.574193548387097
1921,2,26.396428571428572
1921,3,23.758064516129032
1921,4,21.18
1921,5,18.01290322580645
1921,6,14.513333333333332
1921,7,14.041935483870969
1921,8,13.83548387096774
1921,9,17.9
1921,10,18.20967741935484
1921,11,21.92
1921,12,21.038709677419355
1922,1,24.925806451612903
1922,2,26.27857142857143
1922,3,22.570967741935487
1922,4,21.373333333333335
1922,5,16.98709677419355
1922,6,14.093333333333334
1922,7,13.887096774193548
1922,8,13.612903225806452
1922,9,15.763333333333334
1922,10,18.809677419354838
1922,11,21.240000000000002
1922,12,23.616129032258065
1923,1,24.664516129032258
1923,2,23.95
1923,3,22.793548387096774
1923,4,22.783333333333335
1923,5,18.229032258064517
1923,6,14.34
1923,7,13.02258064516129
1923,8,14.077419354838709
1923,9,15.476666666666667
1923,10,18.019354838709678
1923,11,19.54
1923,12,22.56451612903226
1924,1,22.606451612903225
1924,2,22.851724137931036
1924,3,22.26451612903226
1924,4,17.706666666666667
1924,5,16.412903225806453
1924,6,12.6
1924,7,13.422580645161291
1924,8,14.519354838709678
1924,9,15.95
1924,10,18.46451612903226
1924,11,20.016666666666666
1924,12,21.748387096774195
1925,1,23.80322580645161
1925,2,23.646428571428572
1925,3,22.793548387096774
1925,4,21.673333333333336
1925,5,16.703225806451613
1925,6,14.09
1925,7,12.506451612903225
1925,8,13.874193548387098
1925,9,14.936666666666667
1925,10,20.17096774193548
1925,11,20.64333333333333
1925,12,22.05483870967742
1926,1,22.322580645161292
1926,2,26.817857142857143
1926,3,24.570967741935487
1926,4,20.576666666666664
1926,5,15.009677419354839
1926,6,14.213333333333333
1926,7,13.887096774193548
1926,8,13.86774193548387
1926,9,18.02
1926,10,19.129032258064516
1926,11,21.293333333333333
1926,12,24.154838709677417
1927,1,25.451612903225808
1927,2,24.65357142857143
1927,3,21.34333333333333
1927,4,18.2
1927,5,16.280645161290323
1927,6,13.370000000000001
1927,7,12.806451612903226
1927,8,13.793548387096774
1927,9,16.173333333333332
1927,10,20.206451612903226
1927,11,22.720000000000002
1927,12,24.551612903225806
1928,1,24.4
1928,2,24.179310344827588
1928,3,23.612903225806452
1928,4,21.64333333333333
1928,5,16.10967741935484
1928,6,13.2
1928,7,13.596774193548388
1928,8,15.887096774193548
1928,9,18.63
1928,10,17.29032258064516
1928,11,21.15
1928,12,23.92258064516129
1929,1,24.67096774193548
1929,2,26.428571428571427
1929,3,22.66774193548387
1929,4,19.043333333333333
1929,5,16.706451612903226
1929,6,13.393333333333334
1929,7,12.035483870967742
1929,8,13.619354838709677
1929,9,15.656666666666666
1929,10,17.861290322580647
1929,11,18.773333333333333
1929,12,21.103225806451615
1930,1,24.651612903225807
1930,2,26.896428571428572
1930,3,23.63225806451613
1930,4,20.009999999999998
1930,5,17.4
1930,6,14.233333333333333
1930,7,13.958064516129031
1930,8,13.632258064516128
1930,9,16.85
1930,10,20.10967741935484
1930,11,21.63
1930,12,22.62258064516129
1931,1,22.651612903225807
1931,2,24.275000000000002
1931,3,21.63225806451613
1931,4,18.413333333333334
1931,5,17.293548387096774
1931,6,13.286666666666667
1931,7,13.0
1931,8,13.72258064516129
1931,9,16.593333333333334
1931,10,17.825806451612905
1931,11,19.696666666666665
1931,12,22.048387096774192
1932,1,26.39032258064516
1932,2,22.548275862068966
1932,3,21.787096774193547
1932,4,19.316666666666666
1932,5,16.448387096774194
1932,6,13.17
1932,7,12.941935483870967
1932,8,13.87741935483871
1932,9,16.436666666666667
1932,10,16.94516129032258
1932,11,21.32
1932,12,21.490322580645163
1933,1,23.490322580645163
1933,2,23.74285714285714
1933,3,23.480645161290322
1933,4,20.373333333333335
1933,5,16.24838709677419
1933,6,14.53
1933,7,13.72258064516129
1933,8,13.719354838709679
1933,9,15.41
1933,10,20.57741935483871
1933,11,21.316666666666666
1933,12,22.403225806451612
1934,1,25.093548387096774
1934,2,24.29642857142857
1934,3,26.896774193548385
1934,4,18.836666666666666
1934,5,18.23548387096774
1934,6,13.116666666666667
1934,7,14.16451612903226
1934,8,14.316129032258065
1934,9,16.956666666666667
1934,10,17.95483870967742
1934,11,19.88
1934,12,22.470967741935485
1935,1,23.261290322580646
1935,2,23.592857142857145
1935,3,21.55483870967742
1935,4,19.53666666666667
1935,5,15.925806451612903
1935,6,13.146666666666667
1935,7,13.745161290322581
1935,8,15.32258064516129
1935,9,16.720000000000002
1935,10,18.5258064516129
1935,11,20.31
1935,12,23.758064516129032
1936,1,25.370967741935484
1936,2,25.155172413793103
1936,3,25.661290322580644
1936,4,18.426666666666666
1936,5,18.293548387096774
1936,6,13.173333333333334
1936,7,13.348387096774195
1936,8,14.83548387096774
1936,9,14.903333333333334
1936,10,18.38064516129032
1936,11,20.116666666666667
1936,12,22.9741935483871
1937,1,23.006451612903227
1937,2,25.517857142857142
1937,3,24.345161290322583
1937,4,18.8
1937,5,16.925806451612903
1937,6,12.233333333333333
1937,7,13.67741935483871
1937,8,15.706451612903225
1937,9,17.08
1937,10,19.016129032258064
1937,11,22.17
1937,12,23.283870967741933
1938,1,25.219354838709677
1938,2,25.210714285714285
1938,3,22.977419354838712
1938,4,22.456666666666667
1938,5,18.725806451612904
1938,6,13.286666666666667
1938,7,13.206451612903225
1938,8,14.538709677419355
1938,9,17.243333333333332
1938,10,20.84193548387097
1938,11,23.166666666666668
1938,12,22.9741935483871
1939,1,26.529032258064515
1939,2,25.478571428571428
1939,3,23.01290322580645
1939,4,20.136666666666667
1939,5,17.793548387096774
1939,6,14.063333333333333
1939,7,12.654838709677419
1939,8,13.46774193548387
1939,9,16.386666666666667
1939,10,18.60967741935484
1939,11,19.733333333333334
1939,12,22.364516129032257
1940,1,24.322580645161292
1940,2,23.337931034482757
1940,3,27.9741935483871
1940,4,19.7
1940,5,15.812903225806451
1940,6,13.783333333333333
1940,7,13.87741935483871
1940,8,15.348387096774195
1940,9,17.553333333333335
1940,10,22.206451612903226
1940,11,19.533333333333335
1940,12,25.067741935483873
1941,1,22.470967741935485
1941,2,24.467857142857145
1941,3,21.309677419354838
1941,4,21.423333333333336
1941,5,16.932258064516127
1941,6,13.856666666666666
1941,7,13.490322580645161
1941,8,14.661290322580646
1941,9,16.423333333333332
1941,10,16.916129032258063
1941,11,21.146666666666665
1941,12,23.551612903225806
1942,1,25.625806451612902
1942,2,24.292857142857144
1942,3,23.59032258064516
1942,4,19.220000000000002
1942,5,16.183870967741935
1942,6,14.103333333333333
1942,7,13.093548387096773
1942,8,14.464516129032257
1942,9,17.30666666666667
1942,10,19.34193548387097
1942,11,20.676666666666666
1942,12,24.03548387096774
1943,1,26.261290322580646
1943,2,23.400000000000002
1943,3,23.748387096774195
1943,4,18.743333333333332
1943,5,16.03548387096774
1943,6,12.663333333333334
1943,7,12.932258064516128
1943,8,13.03225806451613
1943,9,15.676666666666668
1943,10,17.36774193548387
1943,11,19.733333333333334
1943,12,21.925806451612903
1944,1,26.1
1944,2,23.96896551724138
1944,3,23.641935483870967
1944,4,17.883333333333333
1944,5,15.638709677419355
1944,6,13.066666666666666
1944,7,13.016129032258064
1944,8,13.583870967741936
1944,9,18.053333333333335
1944,10,19.641935483870967
1944,11,21.23
1944,12,23.896774193548385
1945,1,24.406451612903226
1945,2,22.014285714285712
1945,3,20.287096774193547
1945,4,18.853333333333335
1945,5,16.23548387096774
1945,6,14.496666666666668
1945,7,12.16451612903226
1945,8,14.751612903225807
1945,9,15.96
1945,10,18.19677419354839
1945,11,22.540000000000003
1945,12,24.10967741935484
1946,1,25.9741935483871
1946,2,23.107142857142858
1946,3,21.07741935483871
1946,4,17.57
1946,5,16.55483870967742
1946,6,12.683333333333334
1946,7,13.687096774193549
1946,8,13.812903225806451
1946,9,14.233333333333333
1946,10,16.474193548387095
1946,11,21.05
1946,12,23.570967741935487
1947,1,25.770967741935483
1947,2,27.782142857142855
1947,3,23.490322580645163
1947,4,20.386666666666667
1947,5,19.4
1947,6,14.336666666666668
1947,7,13.248387096774193
1947,8,13.361290322580645
1947,9,16.2
1947,10,17.574193548387097
1947,11,18.873333333333335
1947,12,22.419354838709676
1948,1,23.95483870967742
1948,2,25.46551724137931
1948,3,20.60967741935484
1948,4,18.916666666666668
1948,5,15.358064516129033
1948,6,13.54
1948,7,12.393548387096773
1948,8,15.167741935483871
1948,9,18.013333333333332
1948,10,17.270967741935483
1948,11,20.05
1948,12,24.393548387096775
1949,1,23.938709677419357
1949,2,21.789285714285715
1949,3,20.780645161290323
1949,4,18.113333333333333
1949,5,15.387096774193548
1949,6,11.646666666666667
1949,7,13.345161290322581
1949,8,14.709677419354838
1949,9,16.37666666666667
1949,10,18.003225806451614
1949,11,19.323333333333334
1949,12,20.55806451612903
1950,1,23.741935483870968
1950,2,22.55
1950,3,22.009677419354837
1950,4,20.026666666666664
1950,5,16.177419354838708
1950,6,12.453333333333335
1950,7,13.980645161290322
1950,8,15.048387096774194
1950,9,18.053333333333335
1950,10,18.55483870967742
1950,11,20.990000000000002
1950,12,25.94516129032258
1951,1,29.774193548387096
1951,2,26.392857142857142
1951,3,24.858064516129033
1951,4,17.426666666666666
1951,5,16.35483870967742
1951,6,14.163333333333332
1951,7,13.280645161290321
1951,8,12.832258064516129
1951,9,16.616666666666667
1951,10,18.306451612903224
1951,11,20.470000000000002
1951,12,22.73548387096774
1952,1,25.232258064516127
1952,2,22.637931034482758
1952,3,23.416129032258063
1952,4,18.266666666666666
1952,5,15.796774193548387
1952,6,13.883333333333333
1952,7,12.748387096774193
1952,8,13.922580645161291
1952,9,16.636666666666667
1952,10,17.690322580645162
1952,11,19.61
1952,12,22.603225806451615
1953,1,24.41290322580645
1953,2,24.45714285714286
1953,3,25.148387096774194
1953,4,21.05666666666667
1953,5,16.980645161290322
1953,6,13.293333333333333
1953,7,13.812903225806451
1953,8,13.69032258064516
1953,9,15.813333333333333
1953,10,18.6
1953,11,19.933333333333334
1953,12,23.75483870967742
1954,1,26.664516129032258
1954,2,21.953571428571426
1954,3,22.741935483870968
1954,4,21.053333333333335
1954,5,16.72258064516129
1954,6,13.883333333333333
1954,7,13.096774193548388
1954,8,14.687096774193549
1954,9,16.686666666666667
1954,10,18.567741935483873
1954,11,20.146666666666665
1954,12,24.183870967741935
1955,1,26.070967741935487
1955,2,24.675
1955,3,22.32903225806452
1955,4,20.470000000000002
1955,5,15.993548387096775
1955,6,13.610000000000001
1955,7,13.061290322580644
1955,8,14.945161290322579
1955,9,17.06
1955,10,18.929032258064513
1955,11,19.443333333333335
1955,12,22.19677419354839
1956,1,23.770967741935483
1956,2,27.644827586206898
1956,3,24.596774193548388
1956,4,19.83
1956,5,15.929032258064517
