Latitude,Longitude
-35.9203064,144.1408819
-36.4368624,144.9769783
-36.236312,145.3638637
-37.0848076,141.9723575
-36.2471853,144.99032
-35.288224,144.1186835
-37.113777,141.04401
-35.8836212,144.1779461
-36.2914319,144.7452794
-37.0337916,141.2870027
-34.5578898,145.0043377
-36.3146888,144.9840752
-36.4083462,144.9476629
-35.9196794,144.1171779
-36.3690739,145.2637145
-35.999932,144.0987376
-36.3496686,144.6779044
-34.5484616,145.9445818
-36.4871596,144.2660306
-35.9920629,145.4770853
-36.4865521,144.2995207
-38.0136602,146.8081965
-34.5765,144.7071193
-38.1684665,147.1584296
-34.0253869,148.4670351
-34.1153472,145.4057638
-36.1908353,143.7212381
-36.4185018,144.9441322
-35.5099691,143.6159187
-37.9181175,143.4901775
-38.014873,140.960367
-35.5967616,145.5330541
-36.1801051,145.0800411
-36.0410499,145.6537193
-36.4199295,144.9194864
-36.4235651,145.4825491
-36.402254,145.447296
-37.016758,140.95301
-36.4473556,143.1166142
-36.4083462,144.9476629
-36.1465679,145.5983514
-36.4400502,145.2089219
-34.8144134,146.7687879
-36.2644761,144.6107069
-36.3656467,145.3125454
-35.9952078,145.5606155
-35.2061102,147.501122
-36.1402922,144.8505558
-38.0850842,146.810255
-36.2839196,145.0172654
-38.0777971,146.7853436
-36.5207373,142.6228247
-34.2687899,142.117761
-36.5599463,145.2542594
-36.3911409,145.4727813
-36.4010169,144.9433644
-38.0741177,146.8848805
-35.4693774,143.714907
-35.9479113,145.6826593
-36.1565916,145.6307476
-36.4685061,145.3029543
-35.606107,143.814793
-36.3904975,144.3032932
-35.5694443,144.1229812
-36.2269999,147.1682844
-38.5863427,143.1268051
-37.7107594,142.5858047
-35.9314636,145.5070745
-35.9198648,144.1059851
-34.5215392,143.7923939
-36.4475266,144.9539279
-37.7284311,147.2747725
-36.2347909,144.084979
-34.4251498,143.7929482
-34.0026527,147.9180222
-36.5587081,145.2558528
-36.2271593,145.065963
-35.795615,144.0869522
-36.3753758,145.4285274
-35.9383133,145.5070086
-35.5001718,143.6333957
-36.2550241,144.9756305
-36.6710581,143.5123844
-36.2249513,145.1221337
-36.4123771,144.9531684
-36.9679054,141.0052558
-36.3583378,145.2393423
-35.2615222,144.9167749
-34.9317653,144.765799
-34.3327458,142.387446
-37.141568,141.077986
-37.554876,141.0060221
-36.9226654,141.0958122
-36.319961,141.9675943
-35.8399546,143.9986559
-34.5074128,145.1648676
-38.044234,140.91873
-37.7107594,142.5858047
-36.4264704,145.296153
-36.3977873,145.2834562
-34.1567098,142.1430857
-37.844515,140.9058899
-36.587589,140.928443
-37.706401,140.932632
-36.4212057,144.9445763
-36.419313,144.9443546
-35.003549,140.959284
-34.058259,141.323467
-36.3630474,141.1364716
-37.6999257,142.5822482
-36.4769601,145.1396754
-34.4268189,145.179689
-34.958917,140.95496
-36.2475424,144.9701141
-37.203489,140.965596
-36.754739,140.924189
-36.3482367,145.1364561
-37.124581,144.0112364
