Year,Storage_Percentage,Desalination_Delivered_GL
2012,72.2525,0
2013,75.77,0
2014,76.5125,0
2015,71.40666666666667,0
2016,65.35416666666667,0
2017,66.35916666666667,50
2018,62.17249999999999,15
2019,57.02583333333333,15
2020,67.4825,125
2021,78.98666666666666,125
2022,90.26833333333333,125
2023,92.84666666666668,15
2024,89.6225,15
2025,75.30833333333334,20
