Lon,Lat,lon1,lon2,lat1,lat2,StressLevel
141.05,-37.94999999999999,141.0,141.1,-37.999999999999986,-37.899999999999984,3
141.05,-37.649999999999984,141.0,141.1,-37.69999999999998,-37.59999999999998,2
141.05,-37.34999999999998,141.0,141.1,-37.39999999999998,-37.299999999999976,1
141.05,-36.949999999999974,141.0,141.1,-36.99999999999997,-36.89999999999997,3
141.05,-36.84999999999997,141.0,141.1,-36.89999999999997,-36.79999999999997,1
141.05,-36.74999999999997,141.0,141.1,-36.79999999999997,-36.69999999999997,1
141.05,-35.14999999999995,141.0,141.1,-35.199999999999946,-35.099999999999945,3
141.05,-34.04999999999993,141.0,141.1,-34.09999999999993,-33.99999999999993,1
141.15,-37.14999999999998,141.1,141.2,-37.199999999999974,-37.09999999999997,3
141.15,-36.44999999999997,141.1,141.2,-36.499999999999964,-36.39999999999996,1
141.25,-37.049999999999976,141.2,141.29999999999998,-37.09999999999997,-36.99999999999997,3
141.25,-34.44999999999994,141.2,141.29999999999998,-34.499999999999936,-34.399999999999935,1
141.35,-36.84999999999997,141.29999999999998,141.39999999999998,-36.89999999999997,-36.79999999999997,2
141.35,-35.24999999999995,141.29999999999998,141.39999999999998,-35.29999999999995,-35.199999999999946,1
141.45,-36.64999999999997,141.39999999999998,141.49999999999997,-36.69999999999997,-36.599999999999966,1
141.45,-34.149999999999935,141.39999999999998,141.49999999999997,-34.19999999999993,-34.09999999999993,2
141.54999999999998,-37.44999999999998,141.49999999999997,141.59999999999997,-37.49999999999998,-37.39999999999998,3
141.84999999999997,-34.44999999999994,141.79999999999995,141.89999999999995,-34.499999999999936,-34.399999999999935,1
141.94999999999996,-37.44999999999998,141.89999999999995,141.99999999999994,-37.49999999999998,-37.39999999999998,2
141.94999999999996,-36.74999999999997,141.89999999999995,141.99999999999994,-36.79999999999997,-36.69999999999997,1
141.94999999999996,-36.249999999999964,141.89999999999995,141.99999999999994,-36.29999999999996,-36.19999999999996,2
141.94999999999996,-36.14999999999996,141.89999999999995,141.99999999999994,-36.19999999999996,-36.09999999999996,2
142.04999999999995,-37.14999999999998,141.99999999999994,142.09999999999994,-37.199999999999974,-37.09999999999997,3
142.04999999999995,-36.949999999999974,141.99999999999994,142.09999999999994,-36.99999999999997,-36.89999999999997,1
142.04999999999995,-35.14999999999995,141.99999999999994,142.09999999999994,-35.199999999999946,-35.099999999999945,1
142.04999999999995,-34.249999999999936,141.99999999999994,142.09999999999994,-34.29999999999993,-34.19999999999993,1
142.14999999999995,-36.84999999999997,142.09999999999994,142.19999999999993,-36.89999999999997,-36.79999999999997,1
142.14999999999995,-34.34999999999994,142.09999999999994,142.19999999999993,-34.399999999999935,-34.29999999999993,1
142.14999999999995,-34.249999999999936,142.09999999999994,142.19999999999993,-34.29999999999993,-34.19999999999993,1
142.14999999999995,-34.149999999999935,142.09999999999994,142.19999999999993,-34.19999999999993,-34.09999999999993,8
142.24999999999994,-34.949999999999946,142.19999999999993,142.29999999999993,-34.99999999999994,-34.89999999999994,1
142.24999999999994,-34.34999999999994,142.19999999999993,142.29999999999993,-34.399999999999935,-34.29999999999993,2
142.24999999999994,-34.249999999999936,142.19999999999993,142.29999999999993,-34.29999999999993,-34.19999999999993,2
142.34999999999994,-37.14999999999998,142.29999999999993,142.39999999999992,-37.199999999999974,-37.09999999999997,1
142.34999999999994,-37.049999999999976,142.29999999999993,142.39999999999992,-37.09999999999997,-36.99999999999997,3
142.34999999999994,-36.74999999999997,142.29999999999993,142.39999999999992,-36.79999999999997,-36.69999999999997,1
142.34999999999994,-34.64999999999994,142.29999999999993,142.39999999999992,-34.69999999999994,-34.59999999999994,1
142.34999999999994,-34.44999999999994,142.29999999999993,142.39999999999992,-34.499999999999936,-34.399999999999935,2
142.44999999999993,-38.349999999999994,142.39999999999992,142.49999999999991,-38.39999999999999,-38.29999999999999,1
142.44999999999993,-38.14999999999999,142.39999999999992,142.49999999999991,-38.19999999999999,-38.09999999999999,1
142.44999999999993,-36.54999999999997,142.39999999999992,142.49999999999991,-36.599999999999966,-36.499999999999964,1
142.54999999999993,-37.749999999999986,142.49999999999991,142.5999999999999,-37.79999999999998,-37.69999999999998,4
142.64999999999992,-38.14999999999999,142.5999999999999,142.6999999999999,-38.19999999999999,-38.09999999999999,1
142.64999999999992,-37.649999999999984,142.5999999999999,142.6999999999999,-37.69999999999998,-37.59999999999998,3
142.64999999999992,-37.049999999999976,142.5999999999999,142.6999999999999,-37.09999999999997,-36.99999999999997,1
142.64999999999992,-36.44999999999997,142.5999999999999,142.6999999999999,-36.499999999999964,-36.39999999999996,1
142.64999999999992,-34.74999999999994,142.5999999999999,142.6999999999999,-34.79999999999994,-34.69999999999994,1
142.74999999999991,-37.54999999999998,142.6999999999999,142.7999999999999,-37.59999999999998,-37.49999999999998,1
142.74999999999991,-36.64999999999997,142.6999999999999,142.7999999999999,-36.69999999999997,-36.599999999999966,1
142.74999999999991,-35.649999999999956,142.6999999999999,142.7999999999999,-35.69999999999995,-35.59999999999995,1
142.74999999999991,-35.44999999999995,142.6999999999999,142.7999999999999,-35.49999999999995,-35.39999999999995,1
142.74999999999991,-34.64999999999994,142.6999999999999,142.7999999999999,-34.69999999999994,-34.59999999999994,1
142.8499999999999,-38.349999999999994,142.7999999999999,142.8999999999999,-38.39999999999999,-38.29999999999999,2
142.8499999999999,-37.54999999999998,142.7999999999999,142.8999999999999,-37.59999999999998,-37.49999999999998,2
142.8499999999999,-37.14999999999998,142.7999999999999,142.8999999999999,-37.199999999999974,-37.09999999999997,1
142.8499999999999,-34.74999999999994,142.7999999999999,142.8999999999999,-34.79999999999994,-34.69999999999994,1
142.9499999999999,-36.54999999999997,142.8999999999999,142.9999999999999,-36.599999999999966,-36.499999999999964,1
142.9499999999999,-34.949999999999946,142.8999999999999,142.9999999999999,-34.99999999999994,-34.89999999999994,1
142.9499999999999,-34.849999999999945,142.8999999999999,142.9999999999999,-34.89999999999994,-34.79999999999994,1
143.0499999999999,-37.049999999999976,142.9999999999999,143.09999999999988,-37.09999999999997,-36.99999999999997,2
143.0499999999999,-36.84999999999997,142.9999999999999,143.09999999999988,-36.89999999999997,-36.79999999999997,1
143.0499999999999,-36.44999999999997,142.9999999999999,143.09999999999988,-36.499999999999964,-36.39999999999996,1
143.1499999999999,-38.55,143.09999999999988,143.19999999999987,-38.599999999999994,-38.49999999999999,5
143.1499999999999,-37.24999999999998,143.09999999999988,143.19999999999987,-37.299999999999976,-37.199999999999974,1
143.1499999999999,-34.74999999999994,143.09999999999988,143.19999999999987,-34.79999999999994,-34.69999999999994,1
143.2499999999999,-36.949999999999974,143.19999999999987,143.29999999999987,-36.99999999999997,-36.89999999999997,2
143.2499999999999,-34.949999999999946,143.19999999999987,143.29999999999987,-34.99999999999994,-34.89999999999994,1
