Latitude,Longitude,LocalDensity,GlowSize
-34.7051987,141.0604241,1,7
-38.1240689,145.2659438,2,9
-36.3381688,145.2296995,81,167
-38.1139116,147.2200506,5,15
-35.1845831,142.1734601,1,7
-36.0174512,145.6671651,20,45
-36.3550737,145.2488029,86,177
-36.4497739,144.9408743,55,115
-36.3178377,144.4162108,22,49
-35.992846,145.5052588,31,67
-36.5093661,145.2506422,56,117
-36.4460483,145.2727465,74,153
-36.9796083,143.2909138,3,11
-35.8066739,143.8620913,10,25
-35.8046579,143.8791702,10,25
-38.3886664,144.857861,3,11
-36.3825328,144.6999477,42,89
-36.4062538,145.4381765,44,93
-35.9850048,145.6007946,27,59
-36.4900807,145.2029189,74,153
-36.3389214,144.6699287,53,111
-36.361191,144.9698026,94,193
-36.4076672,145.4911463,34,73
-36.3569042,145.4273104,48,101
-36.1928196,144.558032,33,71
-36.4401104,145.0905737,85,175
-36.3926092,145.1747931,106,217
-36.2148167,145.0571662,71,147
-35.9815181,145.5394482,30,65
-35.9677262,145.3504392,32,69
-36.4718048,145.240365,70,145
-36.2958731,144.8056086,34,73
-36.2517442,145.2264377,56,117
-36.712196,145.1747383,4,13
-35.9595706,145.3928587,30,65
-36.4959163,145.2156596,67,139
-35.8807651,144.405883,1,7
-36.1990558,145.0260198,69,143
-36.252214,144.6373631,57,119
-36.1589449,145.0436771,52,109
-36.1691771,145.6095643,24,53
-36.3807283,144.665737,43,91
-36.1678975,145.6300064,24,53
-36.2363235,145.3745438,31,67
-37.3169758,143.6195863,2,9
-36.2423992,144.9858257,76,157
